Company,Industry,City,Country,Continent,Year Founded,Date Joined,Year_Joined,Valuation_Num,Funding_Num,Years_To_Unicorn
SnapLogic,Internet software & services,San Mateo,United States,North America,2006,2021-12-13 00:00:00.000,2021,1000000000.00,371000000.00,15
Snorkel AI,Artificial intelligence,Palo Alto,United States,North America,2019,2021-08-09 00:00:00.000,2021,1000000000.00,135000000.00,2
Solo.io,Internet software & services,Cambridge,United States,North America,2017,2021-10-07 00:00:00.000,2021,1000000000.00,172000000.00,4
SoundHound,Artificial intelligence,Santa Clara,United States,North America,2005,2018-05-03 00:00:00.000,2018,1000000000.00,215000000.00,13
Splashtop,Internet software & services,San Jose,United States,North America,2006,2021-01-27 00:00:00.000,2021,1000000000.00,114000000.00,15
Standard,Artificial intelligence,San Francisco,United States,North America,2017,2021-02-17 00:00:00.000,2021,1000000000.00,239000000.00,4
Stytch,Cybersecurity,San Francisco,United States,North America,2020,2021-11-18 00:00:00.000,2021,1000000000.00,126000000.00,1
Swile,Fintech,Montpellier,France,Europe,2016,2021-10-11 00:00:00.000,2021,1000000000.00,326000000.00,5
Tarana Wireless,Mobile & telecommunications,Milpitas,United States,North America,2009,2022-03-23 00:00:00.000,2022,1000000000.00,376000000.00,13
TechStyle Fashion Group,E-commerce & direct-to-consumer,El Segundo,United States,North America,2010,2014-08-29 00:00:00.000,2014,1000000000.00,336000000.00,4
TensTorrent,Artificial intelligence,Toronto,Canada,North America,2016,2021-05-05 00:00:00.000,2021,1000000000.00,235000000.00,5
TERMINUS Technology,Hardware,Beijing,China,Asia,2015,2018-10-25 00:00:00.000,2018,1000000000.00,623000000.00,3
Tezign,Internet software & services,Shanghai,China,Asia,2015,2021-11-02 00:00:00.000,2021,1000000000.00,151000000.00,6
The Zebra,E-commerce & direct-to-consumer,Austin,United States,North America,2012,2021-04-12 00:00:00.000,2021,1000000000.00,257000000.00,9
Thirty Madison,Health,New York,United States,North America,1993,2021-06-02 00:00:00.000,2021,1000000000.00,210000000.00,28
Thought Machine,Fintech,London,United Kingdom,Europe,2014,2021-11-29 00:00:00.000,2021,1000000000.00,403000000.00,7
Timescale,Internet software & services,New York,United States,North America,2015,2022-02-22 00:00:00.000,2022,1000000000.00,181000000.00,7
Tractable,Artificial intelligence,London,United Kingdom,Europe,2014,2021-06-16 00:00:00.000,2021,1000000000.00,120000000.00,7
Tresata,Fintech,Charlotte,United States,North America,2011,2018-10-10 00:00:00.000,2018,1000000000.00,51000000.00,7
TrialSpark,Health,New York,United States,North America,2014,2021-09-30 00:00:00.000,2021,1000000000.00,156000000.00,7
TrueLayer,Fintech,London,United Kingdom,Europe,2016,2021-09-21 00:00:00.000,2021,1000000000.00,271000000.00,5
Unico,Artificial intelligence,Sao Paulo,Brazil,South America,2007,2021-08-03 00:00:00.000,2021,1000000000.00,237000000.00,14
Vagaro,Internet software & services,Dublin,United States,North America,2009,2021-11-03 00:00:00.000,2021,1000000000.00,163000000.00,12
Vedantu,Edtech,Bengaluru,India,Asia,2014,2021-09-29 00:00:00.000,2021,1000000000.00,292000000.00,7
Veev,Internet software & services,San Mateo,United States,North America,2008,2022-02-24 00:00:00.000,2022,1000000000.00,585000000.00,14
Vise,Fintech,New York,United States,North America,2016,2021-05-18 00:00:00.000,2021,1000000000.00,128000000.00,5
Visier,Internet software & services,Vancouver,Canada,North America,2010,2021-06-29 00:00:00.000,2021,1000000000.00,217000000.00,11
VOI,Travel,Stockholm,Sweden,Europe,2018,2021-12-21 00:00:00.000,2021,1000000000.00,516000000.00,3
Vox Media,Internet software & services,Washington,United States,North America,2011,2015-08-12 00:00:00.000,2015,1000000000.00,308000000.00,4
VTS,Internet software & services,New York,United States,North America,2012,2019-05-07 00:00:00.000,2019,1000000000.00,187000000.00,7
Watershed,Internet software & services,San Francisco,United States,North America,2019,2022-02-08 00:00:00.000,2022,1000000000.00,70000000.00,3
Weights & Biases,Internet software & services,San Francisco,United States,North America,2017,2021-10-13 00:00:00.000,2021,1000000000.00,200000000.00,4
WeLab,Fintech,NULL,Hong Kong,Asia,2013,2017-11-08 00:00:00.000,2017,1000000000.00,871000000.00,4
Womai,E-commerce & direct-to-consumer,Beijing,China,Asia,2009,2015-10-12 00:00:00.000,2015,1000000000.00,330000000.00,6
Wrapbook,Fintech,New York,United States,North America,2018,2021-11-10 00:00:00.000,2021,1000000000.00,131000000.00,3
Xendit,Fintech,Jakarta,Indonesia,Asia,2014,2021-09-14 00:00:00.000,2021,1000000000.00,215000000.00,7
XForcePlus,Internet software & services,Shanghai,China,Asia,2015,2021-06-01 00:00:00.000,2021,1000000000.00,200000000.00,6
YH Global,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,1997,2017-09-21 00:00:00.000,2017,1000000000.00,182000000.00,20
YipitData,Internet software & services,New York,United States,North America,2008,2021-12-06 00:00:00.000,2021,1000000000.00,492000000.00,13
Yunxuetang,Edtech,Suzhou,China,Asia,2011,2021-03-29 00:00:00.000,2021,1000000000.00,389000000.00,10
Zhaogang,E-commerce & direct-to-consumer,Shanghai,China,Asia,2012,2017-06-29 00:00:00.000,2017,1000000000.00,379000000.00,5
Zhuan Zhuan,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,2017-04-18 00:00:00.000,2017,1000000000.00,990000000.00,2
Zihaiguo,Consumer & retail,Chongqing,China,Asia,2018,2021-05-06 00:00:00.000,2021,1000000000.00,80000000.00,3
Zopa,Fintech,London,United Kingdom,Europe,2005,2021-10-19 00:00:00.000,2021,1000000000.00,792000000.00,16
Zwift,E-commerce & direct-to-consumer,Long Beach,United States,North America,2014,2020-09-16 00:00:00.000,2020,1000000000.00,620000000.00,6
Bytedance,Artificial intelligence,Beijing,China,Asia,2012,2017-04-07 00:00:00.000,2017,180000000000.00,8000000000.00,5
SpaceX,Other,Hawthorne,United States,North America,2002,2012-12-01 00:00:00.000,2012,100000000000.00,7000000000.00,10
SHEIN,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,2018-07-03 00:00:00.000,2018,100000000000.00,2000000000.00,10
Stripe,Fintech,San Francisco,United States,North America,2010,2014-01-23 00:00:00.000,2014,95000000000.00,2000000000.00,4
Klarna,Fintech,Stockholm,Sweden,Europe,2005,2011-12-12 00:00:00.000,2011,46000000000.00,4000000000.00,6
Canva,Internet software & services,Surry Hills,Australia,Oceania,2012,2018-01-08 00:00:00.000,2018,40000000000.00,572000000.00,6
Checkout.com,Fintech,London,United Kingdom,Europe,2012,2019-05-02 00:00:00.000,2019,40000000000.00,2000000000.00,7
Instacart,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,2014-12-30 00:00:00.000,2014,39000000000.00,3000000000.00,2
JUUL Labs,Consumer & retail,San Francisco,United States,North America,2015,2017-12-20 00:00:00.000,2017,38000000000.00,14000000000.00,2
Databricks,Data management & analytics,San Francisco,United States,North America,2013,2019-02-05 00:00:00.000,2019,38000000000.00,3000000000.00,6
Revolut,Fintech,London,United Kingdom,Europe,2015,2018-04-26 00:00:00.000,2018,33000000000.00,2000000000.00,3
Epic Games,Other,Cary,United States,North America,1991,2018-10-26 00:00:00.000,2018,32000000000.00,7000000000.00,27
FTX,Fintech,NULL,Bahamas,North America,2018,2021-07-20 00:00:00.000,2021,32000000000.00,2000000000.00,3
Fanatics,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,2012-06-06 00:00:00.000,2012,27000000000.00,4000000000.00,10
Chime,Fintech,San Francisco,United States,North America,2013,2019-03-05 00:00:00.000,2019,25000000000.00,2000000000.00,6
BYJU's,Edtech,Bengaluru,India,Asia,2008,2017-07-25 00:00:00.000,2017,22000000000.00,4000000000.00,9
J&T Express,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,2021-04-07 00:00:00.000,2021,20000000000.00,5000000000.00,6
Xiaohongshu,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,2016-03-31 00:00:00.000,2016,20000000000.00,918000000.00,3
Miro,Internet software & services,San Francisco,United States,North America,2011,2022-01-05 00:00:00.000,2022,18000000000.00,476000000.00,11
Yuanfudao,Edtech,Beijing,China,Asia,2012,2017-05-31 00:00:00.000,2017,17000000000.00,4000000000.00,5
Rapyd,Fintech,London,United Kingdom,Europe,2016,2019-12-03 00:00:00.000,2019,15000000000.00,770000000.00,3
Discord,Internet software & services,San Francisco,United States,North America,2012,2018-04-20 00:00:00.000,2018,15000000000.00,979000000.00,6
Genki Forest,Consumer & retail,Beijing,China,Asia,2016,2020-03-01 00:00:00.000,2020,15000000000.00,721000000.00,4
goPuff,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,2020-10-08 00:00:00.000,2020,15000000000.00,3000000000.00,7
Blockchain.com,Fintech,London,United Kingdom,Europe,2011,2021-02-17 00:00:00.000,2021,14000000000.00,490000000.00,10
Plaid,Fintech,San Francisco,United States,North America,2012,2018-12-11 00:00:00.000,2018,13000000000.00,734000000.00,6
Devoted Health,Health,Waltham,United States,North America,2017,2018-10-16 00:00:00.000,2018,13000000000.00,2000000000.00,1
OpenSea,E-commerce & direct-to-consumer,New York,United States,North America,2017,2021-07-20 00:00:00.000,2021,13000000000.00,427000000.00,4
Grammarly,Internet software & services,San Francisco,United States,North America,2009,2019-10-10 00:00:00.000,2019,13000000000.00,400000000.00,10
Argo AI,Artificial intelligence,Pittsburgh,United States,North America,2016,2019-07-12 00:00:00.000,2019,12000000000.00,4000000000.00,3
Northvolt,Other,Stockholm,Sweden,Europe,2016,2019-06-12 00:00:00.000,2019,12000000000.00,4000000000.00,3
Faire,Artificial intelligence,San Francisco,United States,North America,2017,2019-10-30 00:00:00.000,2019,12000000000.00,1000000000.00,2
Airtable,Internet software & services,San Francisco,United States,North America,2013,2018-11-15 00:00:00.000,2018,12000000000.00,1000000000.00,5
Brex,Fintech,San Francisco,United States,North America,2017,2018-10-05 00:00:00.000,2018,12000000000.00,1000000000.00,1
Getir,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,2021-03-26 00:00:00.000,2021,12000000000.00,2000000000.00,6
Biosplice Therapeutics,Health,San Diego,United States,North America,2008,2018-08-06 00:00:00.000,2018,12000000000.00,799000000.00,10
Bitmain,Hardware,Beijing,China,Asia,2015,2018-07-06 00:00:00.000,2018,12000000000.00,765000000.00,3
GoodLeap,Internet software & services,Roseville,United States,North America,2003,2021-10-13 00:00:00.000,2021,12000000000.00,800000000.00,18
Xingsheng Selected,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,2020-07-22 00:00:00.000,2020,12000000000.00,5000000000.00,11
ZongMu Technology,Auto & transportation,Shanghai,China,Asia,2013,2021-06-03 00:00:00.000,2021,11000000000.00,376000000.00,8
Bolt,Auto & transportation,Tallinn,Estonia,Europe,2013,2018-05-29 00:00:00.000,2018,11000000000.00,1000000000.00,5
Swiggy,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,2018-06-21 00:00:00.000,2018,11000000000.00,5000000000.00,4
Weilong Foods,Consumer & retail,Luohe,China,Asia,1999,2021-05-08 00:00:00.000,2021,11000000000.00,558000000.00,22
Global Switch,Hardware,London,United Kingdom,Europe,1998,2016-12-22 00:00:00.000,2016,11000000000.00,5000000000.00,18
Bolt,Fintech,San Francisco,United States,North America,2014,2021-10-08 00:00:00.000,2021,11000000000.00,1000000000.00,7
Celonis,Data management & analytics,Munich,Germany,Europe,2011,2018-06-26 00:00:00.000,2018,11000000000.00,1000000000.00,7
Zuoyebang,Edtech,Beijing,China,Asia,2014,2018-07-18 00:00:00.000,2018,10000000000.00,3000000000.00,4
Ripple,Fintech,San Francisco,United States,North America,2012,2019-12-20 00:00:00.000,2019,10000000000.00,294000000.00,7
OYO Rooms,Travel,Gurugram,India,Asia,2012,2018-09-25 00:00:00.000,2018,10000000000.00,3000000000.00,6
OutSystems,Internet software & services,Boston,United States,North America,2001,2018-06-05 00:00:00.000,2018,10000000000.00,572000000.00,17
ServiceTitan,Internet software & services,Glendale,United States,North America,2012,2018-11-14 00:00:00.000,2018,10000000000.00,1000000000.00,6
Alchemy,Fintech,San Francisco,United States,North America,2017,2021-10-28 00:00:00.000,2021,10000000000.00,564000000.00,4
Chehaoduo,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,2016-03-12 00:00:00.000,2016,10000000000.00,4000000000.00,1
Digital Currency Group,Fintech,New York,United States,North America,2015,2021-11-01 00:00:00.000,2021,10000000000.00,1000000000.00,6
Figma,Internet software & services,San Francisco,United States,North America,2012,2020-04-30 00:00:00.000,2020,10000000000.00,333000000.00,8
Gusto,Fintech,San Francisco,United States,North America,2011,2015-12-18 00:00:00.000,2015,10000000000.00,691000000.00,4
Lalamove,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,2019-02-21 00:00:00.000,2019,10000000000.00,2000000000.00,6
Notion Labs,Internet software & services,San Francisco,United States,North America,2016,2020-04-01 00:00:00.000,2020,10000000000.00,343000000.00,4
reddit,Internet software & services,San Francisco,United States,North America,2005,2017-07-31 00:00:00.000,2017,10000000000.00,1000000000.00,12
Talkdesk,Internet software & services,San Francisco,United States,North America,2011,2018-10-03 00:00:00.000,2018,10000000000.00,497000000.00,7
Thrasio,Other,Walpole,United States,North America,2018,2020-07-15 00:00:00.000,2020,10000000000.00,2000000000.00,2
Dunamu,Fintech,Seoul,South Korea,Asia,2012,2021-07-22 00:00:00.000,2021,9000000000.00,71000000.00,9
Yanolja,Travel,Seoul,South Korea,Asia,2005,2019-06-10 00:00:00.000,2019,9000000000.00,2000000000.00,14
Pony.ai,Artificial intelligence,Fremont,United States,North America,2016,2018-07-11 00:00:00.000,2018,9000000000.00,1000000000.00,2
Nuro,Auto & transportation,Mountain View,United States,North America,2016,2019-02-11 00:00:00.000,2019,9000000000.00,2000000000.00,3
Snyk,Cybersecurity,Boston,United States,North America,2015,2020-01-21 00:00:00.000,2020,9000000000.00,1000000000.00,5
Kavak,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,2020-10-01 00:00:00.000,2020,9000000000.00,2000000000.00,4
N26,Fintech,Berlin,Germany,Europe,2013,2019-01-10 00:00:00.000,2019,9000000000.00,2000000000.00,6
Klaviyo,Internet software & services,Boston,United States,North America,2012,2020-11-17 00:00:00.000,2020,9000000000.00,679000000.00,8
Niantic,Mobile & telecommunications,San Francisco,United States,North America,2015,2017-11-24 00:00:00.000,2017,9000000000.00,770000000.00,2
Tanium,Cybersecurity,Kirkland,United States,North America,2007,2015-03-31 00:00:00.000,2015,9000000000.00,775000000.00,8
Dream11,Internet software & services,Mumbai,India,Asia,2007,2019-04-09 00:00:00.000,2019,8000000000.00,2000000000.00,12
DJI Innovations,Hardware,Shenzhen,China,Asia,2006,2015-01-23 00:00:00.000,2015,8000000000.00,105000000.00,9
Netskope,Cybersecurity,Santa Clara,United States,North America,2012,2018-11-13 00:00:00.000,2018,8000000000.00,1000000000.00,6
Razorpay,Fintech,Bengaluru,India,Asia,2013,2020-10-11 00:00:00.000,2020,8000000000.00,742000000.00,7
Dapper Labs,Fintech,Vancouver,Canada,North America,2018,2021-03-30 00:00:00.000,2021,8000000000.00,607000000.00,3
Lacework,Cybersecurity,San Jose,United States,North America,2015,2021-01-07 00:00:00.000,2021,8000000000.00,2000000000.00,6
Tipalti,Fintech,San Mateo,United States,North America,2010,2020-10-06 00:00:00.000,2020,8000000000.00,549000000.00,10
Hopin,Internet software & services,London,United Kingdom,Europe,2019,2020-11-10 00:00:00.000,2020,8000000000.00,1000000000.00,1
Caris Life Sciences,Health,Irving,United States,North America,1996,2021-05-12 00:00:00.000,2021,8000000000.00,1000000000.00,25
Ramp,Fintech,New York,United States,North America,2019,2021-03-29 00:00:00.000,2021,8000000000.00,660000000.00,2
Tempus,Health,Chicago,United States,North America,2015,2018-03-21 00:00:00.000,2018,8000000000.00,820000000.00,3
Fireblocks,Fintech,New York,United States,North America,2018,2021-07-27 00:00:00.000,2021,8000000000.00,1000000000.00,3
Flexport,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,2018-04-30 00:00:00.000,2018,8000000000.00,2000000000.00,5
National Stock Exchange of India,Fintech,Mumbai,India,Asia,1998,2020-07-01 00:00:00.000,2020,7000000000.00,297000000.00,22
Meicai,Mobile & telecommunications,Beijing,China,Asia,2014,2016-06-22 00:00:00.000,2016,7000000000.00,1000000000.00,2
Impossible Foods,Consumer & retail,Redwood City,United States,North America,2011,2019-05-13 00:00:00.000,2019,7000000000.00,2000000000.00,8
CRED,Fintech,Bengaluru,India,Asia,2018,2021-04-06 00:00:00.000,2021,7000000000.00,922000000.00,3
Attentive,Mobile & telecommunications,Hoboken,United States,North America,2016,2020-09-23 00:00:00.000,2020,7000000000.00,863000000.00,4
Ola Cabs,Auto & transportation,Bengaluru,India,Asia,2010,2014-10-27 00:00:00.000,2014,7000000000.00,4000000000.00,4
Rippling,Internet software & services,San Francisco,United States,North America,2017,2020-08-04 00:00:00.000,2020,7000000000.00,447000000.00,3
Carta,Fintech,San Francisco,United States,North America,2012,2019-05-06 00:00:00.000,2019,7000000000.00,1000000000.00,7
Toss,Fintech,Seoul,South Korea,Asia,2013,2018-12-09 00:00:00.000,2018,7000000000.00,844000000.00,5
Ziroom,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,2018-01-17 00:00:00.000,2018,7000000000.00,2000000000.00,7
Scale AI,Artificial intelligence,San Francisco,United States,North America,2018,2019-08-05 00:00:00.000,2019,7000000000.00,603000000.00,1
Gong,Artificial intelligence,Palo Alto,United States,North America,2015,2020-08-12 00:00:00.000,2020,7000000000.00,583000000.00,5
TripActions,Travel,Palo Alto,United States,North America,2015,2018-11-08 00:00:00.000,2018,7000000000.00,912000000.00,3
1Password,Cybersecurity,Toronto,Canada,North America,2005,2021-07-08 00:00:00.000,2021,7000000000.00,920000000.00,16
Automation Anywhere,Artificial intelligence,San Jose,United States,North America,2003,2018-07-02 00:00:00.000,2018,7000000000.00,849000000.00,15
Gemini,Fintech,New York,United States,North America,2015,2021-11-19 00:00:00.000,2021,7000000000.00,424000000.00,6
ConsenSys,Fintech,New York,United States,North America,2014,2021-11-17 00:00:00.000,2021,7000000000.00,660000000.00,7
Ro,Health,New York,United States,North America,2017,2020-07-27 00:00:00.000,2020,7000000000.00,1000000000.00,3
Black Unicorn Factory,Other,Los Angeles,United States,North America,2020,2021-05-20 00:00:00.000,2021,6000000000.00,645000000.00,1
Easyhome,Consumer & retail,Beijing,China,Asia,1999,2018-02-12 00:00:00.000,2018,6000000000.00,2000000000.00,19
WeDoctor,Health,Hangzhou,China,Asia,2010,2015-09-22 00:00:00.000,2015,6000000000.00,1000000000.00,5
SVOLT,Auto & transportation,Changzhou,China,Asia,2018,2020-06-08 00:00:00.000,2020,6000000000.00,3000000000.00,2
Airwallex,Fintech,Melbourne,Australia,Oceania,2015,2019-03-25 00:00:00.000,2019,6000000000.00,802000000.00,4
Deel,Fintech,San Francisco,United States,North America,2018,2021-04-21 00:00:00.000,2021,6000000000.00,629000000.00,3
Mambu,Fintech,Amsterdam,Netherlands,Europe,2011,2021-01-06 00:00:00.000,2021,6000000000.00,448000000.00,10
Mollie,Fintech,Amsterdam,Netherlands,Europe,2004,2020-09-08 00:00:00.000,2020,6000000000.00,928000000.00,16
Doctolib,Health,Paris,France,Europe,2013,2019-03-19 00:00:00.000,2019,6000000000.00,815000000.00,6
FiveTran,Data management & analytics,Oakland,United States,North America,2012,2020-06-30 00:00:00.000,2020,6000000000.00,728000000.00,8
Postman,Internet software & services,San Francisco,United States,North America,2014,2020-06-11 00:00:00.000,2020,6000000000.00,433000000.00,6
Back Market,E-commerce & direct-to-consumer,Paris,France,Europe,2014,2021-05-18 00:00:00.000,2021,6000000000.00,1000000000.00,7
Cityblock Health,Health,Brooklyn,United States,North America,2017,2020-12-10 00:00:00.000,2020,6000000000.00,891000000.00,3
DataRobot,Artificial intelligence,Boston,United States,North America,2012,2019-07-29 00:00:00.000,2019,6000000000.00,1000000000.00,7
Personio,Internet software & services,Munich,Germany,Europe,2015,2021-01-19 00:00:00.000,2021,6000000000.00,524000000.00,6
RELEX Solutions,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,2022-02-17 00:00:00.000,2022,6000000000.00,803000000.00,17
Vice Media,Internet software & services,Brooklyn,United States,North America,1994,2011-04-02 00:00:00.000,2011,6000000000.00,1000000000.00,17
Workato,Internet software & services,Mountain View,United States,North America,2013,2021-01-12 00:00:00.000,2021,6000000000.00,415000000.00,8
Upgrade,Fintech,San Francisco,United States,North America,2016,2018-02-12 00:00:00.000,2018,6000000000.00,587000000.00,2
Lianjia,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,2016-04-07 00:00:00.000,2016,6000000000.00,1000000000.00,15
Hinge Health,Health,San Francisco,United States,North America,2015,2021-01-06 00:00:00.000,2021,6000000000.00,826000000.00,6
Lyra Health,Health,Burlingame,United States,North America,2015,2020-08-25 00:00:00.000,2020,6000000000.00,910000000.00,5
Benchling,Internet software & services,San Francisco,United States,North America,2012,2021-04-14 00:00:00.000,2021,6000000000.00,412000000.00,9
Better.com,Fintech,New York,United States,North America,2018,2020-11-10 00:00:00.000,2020,6000000000.00,405000000.00,2
iCapital Network,Fintech,New York,United States,North America,2013,2021-07-27 00:00:00.000,2021,6000000000.00,729000000.00,8
Wiz,Cybersecurity,Tel Aviv,Israel,Asia,2020,2021-03-17 00:00:00.000,2021,6000000000.00,600000000.00,1
DailyHunt,Internet software & services,Bengaluru,India,Asia,2007,2020-12-22 00:00:00.000,2020,5000000000.00,869000000.00,13
Howden Group Holdings,Other,London,United Kingdom,Europe,1994,2020-09-29 00:00:00.000,2020,5000000000.00,187000000.00,26
Meesho,Internet software & services,Bengaluru,India,Asia,2015,2021-04-05 00:00:00.000,2021,5000000000.00,1000000000.00,6
Meizu Technology,Hardware,Zhuhai,China,Asia,2003,2014-07-23 00:00:00.000,2014,5000000000.00,943000000.00,11
CloudWalk Technology,Artificial intelligence,Guangzhou,China,Asia,2015,2018-10-08 00:00:00.000,2018,5000000000.00,514000000.00,3
Royole Corporation,Hardware,Shenzhen,China,Asia,2012,2015-08-18 00:00:00.000,2015,5000000000.00,492000000.00,3
Monzo,Fintech,London,United Kingdom,Europe,2015,2018-10-31 00:00:00.000,2018,5000000000.00,1000000000.00,3
Socure,Cybersecurity,New York,United States,North America,2012,2021-03-16 00:00:00.000,2021,5000000000.00,644000000.00,9
VIPKid,Edtech,Beijing,China,Asia,2013,2016-08-04 00:00:00.000,2016,5000000000.00,1000000000.00,3
Vinted,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,2019-11-27 00:00:00.000,2019,5000000000.00,562000000.00,11
Lendable,Fintech,London,United Kingdom,Europe,2014,2021-03-31 00:00:00.000,2021,5000000000.00,286000000.00,7
UBTECH Robotics,Hardware,Shenzhen,China,Asia,2012,2016-07-25 00:00:00.000,2016,5000000000.00,943000000.00,4
Anduril,Artificial intelligence,Irvine,United States,North America,2017,2019-09-11 00:00:00.000,2019,5000000000.00,691000000.00,2
Checkr,Internet software & services,San Francisco,United States,North America,2014,2019-09-19 00:00:00.000,2019,5000000000.00,559000000.00,5
Color,Health,Burlingame,United States,North America,2013,2021-01-04 00:00:00.000,2021,5000000000.00,497000000.00,8
Dataiku,Internet software & services,New York,United States,North America,2013,2019-12-04 00:00:00.000,2019,5000000000.00,647000000.00,6
BetterUp,Internet software & services,San Francisco,United States,North America,2013,2021-02-25 00:00:00.000,2021,5000000000.00,567000000.00,8
Pleo,Fintech,Copenhagen,Denmark,Europe,2015,2021-07-06 00:00:00.000,2021,5000000000.00,428000000.00,6
Trade Republic,Fintech,Berlin,Germany,Europe,2015,2021-05-20 00:00:00.000,2021,5000000000.00,996000000.00,6
Chipone,Hardware,Beijing,China,Asia,2008,2021-12-16 00:00:00.000,2021,5000000000.00,1000000000.00,13
Collibra,Data management & analytics,Brussels,Belgium,Europe,2008,2019-01-29 00:00:00.000,2019,5000000000.00,596000000.00,11
Rappi,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,2018-08-31 00:00:00.000,2018,5000000000.00,2000000000.00,3
